"Tone Analyzer uses linguistic analysis to detect three types of tones from communications: emotion, social, and language.  This insight can then be used to drive high impact communications.","21_tone_analyzer"
"ibm_created","21_tone_analyzer"
"ibm_dedicated_public","21_tone_analyzer"
"lite","21_tone_analyzer"
"watson","21_tone_analyzer"
"Translate text from one language to another for specific domains.","31_language_translator"
"ibm_created","31_language_translator"
"ibm_dedicated_public","31_language_translator"
"lite","31_language_translator"
"watson","31_language_translator"
"API-first platform for fintech applications","41_Difitek"
"ibm_third_party","41_Difitek"
"ibm_dedicated_public","41_Difitek"
"finance","41_Difitek"
"Natural Language Classifier performs natural language classification on question texts. A user would be able to train their data and the predict the appropriate class for a input question.","51_natural_language_classifier"
"ibm_created","51_natural_language_classifier"
"ibm_dedicated_public","51_natural_language_classifier"
"watson","51_natural_language_classifier"
"Powering Content and data for your application.  Whether you are building a line of business app, content management software or need to display content beautifully on web and mobile, the Box API can ","71_box"
"ibm_dedicated_public","71_box"
"ibm_third_party","71_box"
"web_and_app","71_box"
"Analyze data in Object Storage with ANSI SQL.","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"business_analytics","81_sql-query"
"data_management","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"rc_compatible","81_sql-query"
"big_data","81_sql-query"
"ibm_created","81_sql-query"
"Discover, catalog, and securely share enterprise data.","91_datacatalog"
"watson","91_datacatalog"
"lite","91_datacatalog"
"ibm_created","91_datacatalog"
"apidocs_enabled","91_datacatalog"
"Phunware Mobile Marketing Automation","101_Phunware Mobile Marketing Automation"
"ibm_third_party","101_Phunware Mobile Marketing Automation"
"ibm_dedicated_public","101_Phunware Mobile Marketing Automation"
"mobile","101_Phunware Mobile Marketing Automation"
